[INFO ] [2021-09-05 21:14:15,257] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 21:14:23,489] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 21:14:23,711]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:14:23,713] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-05 21:14:25,244] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-05 21:14:25,551] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-05 21:14:25,739] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-05 21:14:25,831] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing376@mail.vn
[INFO ] [2021-09-05 21:14:25,940] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:14:26,027] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-05 21:14:26,110] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-05 21:14:28,202] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-05 21:14:28,295]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:14:28,295] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-05 21:14:30,562] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-05 21:14:30,668]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:14:30,675] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-05 21:14:31,243] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing376@mail.vn
[INFO ] [2021-09-05 21:14:31,375] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:14:31,459] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 21:14:32,954] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 21:14:33,072]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:14:33,077] Postcondition: Close the browser
[INFO ] [2021-09-05 21:17:38,804] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 21:17:47,877] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 21:17:48,083]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:17:48,085] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-05 21:17:49,700] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-05 21:17:50,049] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-05 21:17:50,207] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-05 21:17:50,319] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing440@mail.vn
[INFO ] [2021-09-05 21:17:50,442] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:17:50,553] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-05 21:17:50,673] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-05 21:17:52,282] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-05 21:17:52,396]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:17:52,397] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-05 21:17:54,720] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-05 21:17:54,831]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:17:54,839] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-05 21:17:56,064] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing440@mail.vn
[INFO ] [2021-09-05 21:17:56,200] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:17:56,300] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 21:17:57,225] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 21:17:57,347]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:17:57,349] Postcondition: Close the browser
[INFO ] [2021-09-05 21:35:43,435] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 21:35:53,645] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 21:35:53,954]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:35:53,968] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-05 21:35:55,593] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-05 21:35:55,930] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-05 21:35:56,072] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-05 21:35:56,172] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing885@mail.vn
[INFO ] [2021-09-05 21:35:56,277] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:35:56,363] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-05 21:35:56,446] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-05 21:35:58,012] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-05 21:35:58,133]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:35:58,133] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-05 21:36:00,544] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-05 21:36:00,653]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:36:00,659] User_02_Login_To_System- Step 01: Click to Login link
